zip,totkbtu,custelec,custgas,avgkbtu
95367,442358604.4,63341,89884,59057.26551
95368,148154282.7,0,48543,36624.25874
95369,12494259.49,4387,0,34176.22838
95370,349310510,148904,0,28150.52732
95372,20889926.11,8945,0,28024.49562
95374,24237479.31,6305,0,46130.01614
95375,4017936.671,4871,0,9898.427438
95376,1039440192,199256,191586,62599.28084
95377,635521552.6,106594,103115,71544.91464
95379,44294617.66,20195,0,26320.14914
95380,420382904.5,0,141050,35764.58599
95382,472422464,0,139699,40580.60236
95383,56487134.64,34478,0,19660.23597
95385,0,0,0,0
95386,85577742.03,0,29520,34787.70001
95387,13757435.07,3949,3002,41805.32309
95388,193181496.6,40120,35788,57781.10566
95389,9624508.48,5186,0,22270.36285
95391,223631539.3,0,56778,47264.40649
95401,718478119.1,155392,134430,55483.79215
95403,870125253.7,180575,159804,57823.63585
95404,952713567.9,183422,155119,62329.28882
95405,567661026.3,108569,101437,62742.88532
95407,661132506.2,131931,124037,60134.389
95409,777157471.1,138597,130682,67287.81758
95410,13960736.55,4578,0,36594.32909
95412,3834213.317,1142,0,40289.45692
95415,13800167.99,6747,0,24544.54066
95417,0,0,0,0
95419,6602374.635,2880,0,27509.89431
95420,3704449.57,1514,0,29361.55538
95421,19919263.94,10255,0,23308.74376
95422,224170949.3,85827,0,31342.71722
95423,67963849.14,28099,0,29024.74073
95425,237299331.6,50520,38510,56365.63696
95426,27112515.73,12846,0,25326.96472
95427,2915367.933,1001,0,34949.46573
95428,29195983.06,9125,0,38394.71745
95429,0,0,0,0
95432,2412878.895,1572,0,18418.92286
95435,4707243.875,1661,0,34007.78236
95436,114258016.1,29264,12277,46852.65833
95437,155531537,71736,0,26017.31968
95439,15986066.05,2830,2142,67785.43906
95441,38960536.15,9166,3357,51006.59325
95442,86028946.99,19367,11029,53304.45417
95443,4684334.756,1945,0,28900.77999
95444,18142964.03,3278,3041,66417.19598
95445,28782110.75,14073,0,24542.40951
95446,78281370.41,34727,0,27050.31949
95448,320435796.2,30473,61071,62963.26496
95449,24973811.73,6213,2504,48235.27132
95450,6599191.107,3713,0,21327.84629
95451,166875491.9,61238,0,32700.38053
95452,42276144.43,8366,4448,60639.93942
95453,150824712.8,57521,0,31464.97026
95454,28116644.18,9200,0,36673.88372
95456,9973113.342,3519,0,34008.91165
95457,43001671.89,15174,0,34006.85796
95458,46030339.99,18348,0,30104.86592
95459,7620346.146,4185,0,21850.4549
95460,34375811.96,14437,0,28573.09299
95461,30929347.6,11905,0,31176.15885
95462,25163967.89,11115,0,27167.57667
95463,361362.8597,101,0,42934.20115
95464,38330535.3,15572,0,29538.04415
95465,24799841.2,7103,0,41897.52138
95466,9976249.1,4335,0,27615.91446
95467,77223415.42,28383,0,32649.15566
95468,11704706.98,5460,0,25724.63072
95469,19371308.12,6961,0,33394.00911
95470,113274859.2,24365,9766,55788.97229
95471,11249138.3,5421,0,24901.24693
95472,339555315.6,59403,41011,68593.56913
95476,933480934.1,168801,146356,66360.81071
95480,0,0,0,0
95482,536843491.1,58777,101048,63753.08659
95485,34865812.56,12858,0,32539.25577
95486,2278635.007,1735,0,15760.01157
95488,4344911.967,1898,0,27470.46555
95490,237087309.6,56729,27586,50151.55767
95492,607922133.7,108743,99512,67085.38117
95493,0,0,0,0
95494,1642540.151,848,0,23243.49271
